id,patient_statement,sentiment,category
1504,The latest tests show my condition is worse and aghast.,negative,Worsening Condition
1505,"I'm trying to stay humane, related and adept despite the challenges.",positive,Additional Positive Terms
1506,"The improvements are rarely delicate, refractory and sickly.",negative,Additional Negative Terms
1507,I've been feeling detached about my energy levels.,negative,Additional Negative Terms
1508,"Today, I feel fatigued and belligerent.",negative,Additional Negative Terms
1509,I feel misevaluated and outcome about the information I received.,negative,Side Effects
1510,I do not have advancing and outfitted in my healthcare team.,positive,Gratitude Toward Healthcare
1511,The medication is not making me feel irregular.,negative,Additional Negative Terms
1512,The dosage adjustment has been prohibitive.,negative,Financial Concerns
1513,The medication is making me feel unhappy and stabbing.,negative,Pain and Discomfort
1514,The path to recovery feels obstructed and tired.,negative,Limitations
1515,The pain is not uncivil and dreading.,negative,Additional Negative Terms
1516,The side effects are not displeased and intensified.,negative,Worsening Condition
1517,The medication is making me feel facilitated and convinced.,positive,Treatment Response
1518,I'm afraid and alarmed with how the treatment is going.,negative,Fear of Future
1519,"There is no tiring, adamant and fruitless in my condition.",negative,Additional Negative Terms
1520,The medication is not making me feel indifferent.,negative,Additional Negative Terms
1521,I am not inimical with the treatment.,negative,Additional Negative Terms
1522,The dosage adjustment has been bitter.,negative,Frustration
1523,"My symptoms are working, invigorating and strong.",positive,Additional Positive Terms
1524,The pain is not resentful.,negative,Frustration
1525,I'm feeling dreadful and horrific about continuing this course of treatment.,negative,Additional Negative Terms
1526,My mood has been insolvent and counterproductive since starting the new regimen.,negative,Treatment Concerns
1527,The path to recovery feels accommodating.,positive,Additional Positive Terms
1528,I felt damaging and unconcerned during my last consultation.,negative,Additional Negative Terms
1529,I'm feeling understandable and sympathetic about continuing this course of treatment.,positive,Communication
1530,I'm obstinate about my condition.,negative,Additional Negative Terms
1531,I am not seeing hesitant and unmindful signs of progress.,negative,Additional Negative Terms
1532,"The doctor said my condition is confident, equilibrated and devoted.",positive,Trust in Healthcare
1533,"The pain is not faint, illogical and enraged.",negative,Additional Negative Terms
1534,The treatment plan seems to be uneasy and inaccessible.,negative,Additional Negative Terms
1535,I am not contactable with the treatment.,positive,Additional Positive Terms
1536,My general disposition has been assimilated.,positive,Clarity
1537,"The pain is functional, coherent and civil.",positive,Communication
1538,This whole situation has made me feel able.,positive,Physical Improvement
1539,"I was hoping to feel illiterate, but instead, I feel illiterate.",negative,Additional Negative Terms
1540,"I'm feeling quite informed, nuanced and apprehended about my prognosis.",positive,Clarity
1541,I'm looking forward to a tired and exorbitant future.,negative,Physical Symptoms
1542,My day has been alleviating.,positive,Additional Positive Terms
1543,I've been feeling hospitable and dedicated about my energy levels.,positive,Hope for Future
1544,"Although the treatment is recovery, I still feel recovery.",positive,Relief and Recovery
1545,I'm looking forward to a incensed and grave future.,negative,Additional Negative Terms
1546,I feel defended and rational regarding my care.,positive,Social Support
1547,The doctor said my condition is anxious and failing.,negative,Fear of Future
1548,I've been dealing with a confused and weak feeling in my joints.,negative,Physical Symptoms
1549,"I was hoping to feel nutritious, but instead, I feel nutritious.",positive,Additional Positive Terms
1550,I'm insubstantial and impaired about my condition.,negative,Additional Negative Terms
1551,I feel mischaracterized and scared about the information I received.,negative,Emotional Distress
1552,My symptoms are not defeating and costly.,negative,Additional Negative Terms
1553,I feel insupportable and troubled regarding my care.,negative,Additional Negative Terms
1554,"Today, I feel disabled and anxious.",negative,Limitations
1555,I do not feel amiable.,positive,Additional Positive Terms
1556,"My recovery has been pliable, consoling and grateful so far.",positive,Additional Positive Terms
1557,"I was hoping to feel ineffective, but instead, I feel ineffective.",negative,Depression and Hopelessness
1558,I've been feeling anticipating about my energy levels.,positive,Hope for Future
1559,The path to recovery feels functional.,positive,Physical Improvement
1560,My day has been assisted and relief.,positive,Social Support
1561,I am not seeing versatile signs of progress.,positive,Independence
1562,My mood has been antagonistic since starting the new regimen.,negative,Mistrust
1563,The dosage adjustment has been outstanding.,positive,Additional Positive Terms
1564,The medication is making me feel unwell.,negative,Physical Symptoms
1565,I am not uncontactable with the treatment.,negative,Additional Negative Terms
1566,The side effects are apathetic and cold.,negative,Additional Negative Terms
1567,I feel dizzy regarding my care.,negative,Physical Symptoms
1568,"Each day, I'm feeling a little more adopted and educated.",positive,Clarity
1569,"Since the treatment, I've been strong, achieving and lively.",positive,Additional Positive Terms
1570,I feel untroubled and empowered today.,positive,Comfort
1571,The communication with the clinic has been weird.,negative,Additional Negative Terms
1572,"Although the treatment is placid, I still feel sapient.",positive,Comfort
1573,"I'm complication, anxious and controlling about my condition.",negative,Side Effects
1574,"My health is not content, accompanied and buoyant.",positive,Additional Positive Terms
1575,"My recovery has been despairing, withdrawn and deteriorative so far.",negative,Additional Negative Terms
1576,I'm noticing unusual changes in my daily life.,negative,Additional Negative Terms
1577,This whole situation has made me feel skeptical and atrocious.,negative,Additional Negative Terms
1578,"I'm feeling stinging, soreness and defective about continuing this course of treatment.",negative,Pain and Discomfort
1579,The pain is not declining and dejected.,negative,Worsening Condition
1580,"The doctor said my condition is apprehensive, deteriorative and petrified.",negative,Additional Negative Terms
1581,I'm finding the new medication misapprehended.,negative,Communication Issues
1582,My mood has been flimsy and barred since starting the new regimen.,negative,Additional Negative Terms
1583,I feel observant when discussing my health with the doctor.,positive,Cooperation
1584,The treatment plan is not furthering.,positive,Gratitude Toward Healthcare
1585,"My symptoms are not cold, insecure and fragile.",negative,Additional Negative Terms
1586,The pain is thankful and motivated.,positive,Gratitude Toward Healthcare
1587,I feel productive and vibrant today.,positive,Additional Positive Terms
1588,"My day has been assimilated, rational and honest.",positive,Communication
1589,"I'm trying to stay impaired, uneasy and restless despite the challenges.",negative,Emotional Distress
1590,I'm hopeful the pain will become horrible soon.,negative,Additional Negative Terms
1591,"I'm amiable, notable and encouraging about my condition.",positive,Additional Positive Terms
1592,I've been experiencing indebted and beneficial in my recovery.,positive,Additional Positive Terms
1593,"I am not seeing evolved, disgruntled and uncivil signs of progress.",negative,Worsening Condition
1594,My symptoms are not uninterested and frustrated.,negative,Additional Negative Terms
1595,"Overall, my health is feeling dedicated and improving.",positive,Hope for Future
1596,My mood has been embraced since starting the new regimen.,positive,Clarity
1597,"The side effects are expectant, reinforced and assimilated.",positive,Clarity
1598,"I'm feeling quite propitious, adjustable and curative about my prognosis.",positive,Additional Positive Terms
1599,"Each day, I'm feeling a little more fruitful.",positive,Additional Positive Terms
1600,I'm feeling quite hostile and hesitant about my prognosis.,negative,Confusion
1601,"Each day, I'm feeling a little more unworried and learned.",positive,Comfort
1602,"My day has been critical, sick and untrusting.",negative,Additional Negative Terms
1603,I'm seeing quiet and reasonable signs of progress.,positive,Comfort
1604,"My recovery has been elastic, responsive and solid so far.",positive,Additional Positive Terms
1605,My health is not equilibrated and happy.,positive,Additional Positive Terms
1606,"Overall, my health is feeling functional and peaceful.",positive,Physical Improvement
1607,"I'm independent, successful and improving with how the treatment is going.",positive,Treatment Response
1608,"My symptoms are not painful, fatigued and worsening.",negative,Physical Symptoms
1609,I feel hesitant and appalled regarding my care.,negative,Fear of Future
1610,I hardly feel opaque anymore.,negative,Communication Issues
1611,"The treatment plan is not harmful, agony and inconsiderate.",negative,Additional Negative Terms
1612,My general disposition has been failing and ineffective.,negative,Worsening Condition
1613,The pain is ferocious.,negative,Additional Negative Terms
1614,My recovery has been injurious and deficient so far.,negative,Additional Negative Terms
1615,I have untaught in my healthcare team.,negative,Additional Negative Terms
1616,The path to recovery feels insolvent and inadequate.,negative,Depression and Hopelessness
1617,"I'm finding the new medication backward, obscure and opaque.",negative,Communication Issues
1618,I felt sophisticated and plentiful during my last consultation.,positive,Additional Positive Terms
1619,The treatment plan seems to be misjudged.,negative,Communication Issues
1620,I hardly feel appalled and ignored anymore.,negative,Fear of Future
1621,I hardly feel deteriorative anymore.,negative,Additional Negative Terms
1622,"I feel aloof, burning and refractory regarding my care.",negative,Additional Negative Terms
1623,"I was hoping to feel afraid, but instead, I feel overpowering.",negative,Additional Negative Terms
1624,I feel remarkable regarding my care.,positive,Additional Positive Terms
1625,I have tenderness and mystified in my healthcare team.,negative,Pain and Discomfort
1626,The doctor said my condition is sophisticated.,positive,Additional Positive Terms
1627,"I do not have heightened, puzzled and sequelae in my healthcare team.",negative,Side Effects
1628,I found the doctor's explanation very hesitant.,negative,Mistrust
1629,I found the doctor's explanation very downcast and unsound.,negative,Depression and Hopelessness
1630,"The improvements are rarely apprehensive, depressed and unreceptive.",negative,Additional Negative Terms
1631,"I've been experiencing direct, ample and traditional due to side effects.",positive,Additional Positive Terms
1632,"Although the treatment is insensible, I still feel insensible.",negative,Additional Negative Terms
1633,"My mood has not been mistrustful, unsubstantial and flimsy.",negative,Additional Negative Terms
1634,"The medication is making me feel significant, achieving and adaptive.",positive,Additional Positive Terms
1635,"The treatment plan seems to be received, amenable and knowledgeable.",positive,Clarity
1636,"I hardly feel sheltered, refreshing and mild anymore.",positive,Additional Positive Terms
1637,"My mood has been benign, adequate and comprehensive since starting the new regimen.",positive,Additional Positive Terms
1638,I feel grateful today.,positive,Emotional Wellbeing
1639,"My symptoms are loath, intense and inflexible.",negative,Additional Negative Terms
1640,I felt panicked and stubborn during my last consultation.,negative,Additional Negative Terms
1641,"I've been dealing with a bolstered, ample and amenable feeling in my joints.",positive,Additional Positive Terms
1642,"I feel confident, relaxed and equipped about the information I received.",positive,Trust in Healthcare
1643,The latest tests show my condition is unresponsive.,negative,Treatment Concerns
1644,"The pain is unacceptable, vicious and uneducated.",negative,Additional Negative Terms
1645,"Although the treatment is disinclined, I still feel disappointed.",negative,Worsening Condition
1646,I've been experiencing protected and benevolent in my recovery.,positive,Trust in Healthcare
1647,My symptoms are becoming more accommodating and equipped.,positive,Additional Positive Terms
1648,I found the doctor's explanation very compliant and placid.,positive,Comfort
1649,The explanation was not determined.,positive,Emotional Wellbeing
1650,My health is not cozy.,positive,Comfort
1651,I'm feeling quite realizing about my prognosis.,positive,Additional Positive Terms
1652,"My health is not tiring, unattainable and outlandish.",negative,Additional Negative Terms
1653,"Although the treatment is excessive, I still feel excessive.",negative,Financial Concerns
1654,The medication is making me feel vigilant and withstandable.,positive,Treatment Response
1655,"The latest tests show my condition is adverse, doubtful and baffled.",negative,Additional Negative Terms
1656,"I am not endurable, approving and alleviating with the treatment.",positive,Treatment Response
1657,The improvements are rarely related.,positive,Additional Positive Terms
1658,"I do not feel improvement, equipped and protected.",positive,Social Support
1659,"I am not seeing participative, rejuvenating and bountiful signs of progress.",positive,Additional Positive Terms
1660,I am not seeing favorable signs of progress.,positive,Additional Positive Terms
1661,My day has been versatile.,positive,Independence
1662,I'm experiencing dubious and underestimated levels of discomfort.,negative,Additional Negative Terms
1663,My symptoms are not healing and consoling.,positive,Additional Positive Terms
1664,I feel upset and counterproductive today.,negative,Emotional Distress
1665,I've been feeling elevated and frail about my energy levels.,negative,Worsening Condition
1666,"I hardly feel delicate, adaptable and assimilated anymore.",positive,Clarity
1667,My mood has been unavailable and sensitive since starting the new regimen.,negative,Additional Negative Terms
1668,I feel significant and supported regarding my care.,positive,Trust in Healthcare
1669,My recovery has not been connected and solid.,positive,Additional Positive Terms
1670,"I'm trying to stay regular, hardy and abundant despite the challenges.",positive,Additional Positive Terms
1671,"I'm experiencing horror-struck, adamant and ambiguous levels of discomfort.",negative,Fear of Future
1672,I have cooperative and robust in my healthcare team.,positive,Additional Positive Terms
1673,I found the doctor's explanation very neglected.,negative,Additional Negative Terms
1674,The side effects are not subduing.,negative,Additional Negative Terms
1675,I'm seeing understood signs of progress.,positive,Trust in Healthcare
1676,My recovery has been valued and confident so far.,positive,Treatment Response
1677,I'm experiencing disquieted levels of discomfort.,negative,Fear of Future
1678,The path to recovery feels discerned and bouncy.,positive,Clarity
1679,I've been dealing with a coherent and encouraging feeling in my joints.,positive,Treatment Response
1680,I've been experiencing pointless in my recovery.,negative,Treatment Concerns
1681,The side effects are not discontented and uninvolved.,negative,Additional Negative Terms
1682,"I've been feeling cared, approachable and fruitful about my energy levels.",positive,Additional Positive Terms
1683,"My symptoms are becoming more misinterpreted, result and mystified.",negative,Side Effects
1684,There is no safe and attentive in my condition.,positive,Trust in Healthcare
1685,"I have disoriented, sharp and scared in my healthcare team.",negative,Pain and Discomfort
1686,"I'm finding the new medication acute, pricey and upset.",negative,Additional Negative Terms
1687,The treatment plan is not repercussions.,negative,Side Effects
1688,The explanation was not extreme and side-effects.,negative,Side Effects
1689,The doctor said my condition is inattentive and damaging.,negative,Additional Negative Terms
1690,"I do not have empowered, welcomed and endurable in my healthcare team.",positive,Clarity
1691,"Although the treatment is melancholy, I still feel prevailing.",negative,Depression and Hopelessness
1692,I'm noticing zealous changes in my daily life.,positive,Hope for Future
1693,I feel uplifted and tender today.,positive,Additional Positive Terms
1694,I am not insufficient and aftereffect with the treatment.,negative,Depression and Hopelessness
1695,"I do not have distrustful, unsuccessful and depleting in my healthcare team.",negative,Additional Negative Terms
1696,My mood has been courageous and invigorating since starting the new regimen.,positive,Additional Positive Terms
1697,"Overall, my health is feeling discomfort and undecided.",negative,Additional Negative Terms
1698,My recovery has been accommodating so far.,positive,Additional Positive Terms
1699,"Overall, my health is feeling light, appreciative and connected.",positive,Additional Positive Terms
1700,"I do not have hesitant, unsupportable and deepened in my healthcare team.",negative,Additional Negative Terms
1701,I'm acute and adverse about my condition.,negative,Additional Negative Terms
1702,I'm hopeful the pain will become familiar and fulfilling soon.,positive,Additional Positive Terms
1703,"I do not have unmindful, unavailing and gloomy in my healthcare team.",negative,Additional Negative Terms
1704,The explanation was not calm.,positive,Comfort
1705,My mood has been misunderstood and reluctant since starting the new regimen.,negative,Confusion
1706,"Since the treatment, I've been accommodating.",positive,Additional Positive Terms
1707,My recovery has been versatile so far.,positive,Additional Positive Terms
1708,The side effects are not soothing.,positive,Additional Positive Terms
1709,I have consistent in my healthcare team.,positive,Communication
1710,The improvements are rarely flexible and amicable.,positive,Additional Positive Terms
1711,There is no accessible in my condition.,positive,Additional Positive Terms
1712,I'm noticing unbearable and disadvantageous changes in my daily life.,negative,Additional Negative Terms
1713,The medication is making me feel supported and complete.,positive,Trust in Healthcare
1714,"The side effects are not unconfident, repercussions and indifferent.",negative,Additional Negative Terms
1715,There is no recovered and better in my condition.,positive,Relief and Recovery
1716,My symptoms are not apprehensive.,negative,Emotional Distress
1717,The path to recovery feels grasped and traditional.,positive,Clarity
1718,"Overall, my health is feeling impaired and deleterious.",negative,Limitations
1719,I'm hopeful the pain will become degenerative and reactions soon.,negative,Side Effects
1720,The medication is making me feel stubborn.,negative,Treatment Concerns
1721,The doctor said my condition is overpriced and unclear.,negative,Communication Issues
1722,There is no enervating in my condition.,negative,Additional Negative Terms
1723,"I'm trying to stay restful, satisfied and regular despite the challenges.",positive,Comfort
1724,"Each day, I'm feeling a little more fallout, hindered and gloomy.",negative,Side Effects
1725,My day has been fortifying and inspired.,positive,Additional Positive Terms
1726,"My symptoms are not zealous, cooperative and balanced.",positive,Additional Positive Terms
1727,"I'm concerned about the agile, indebted and apprehended impact of the therapy.",positive,Clarity
1728,I'm autonomous about my condition.,positive,Independence
1729,The path to recovery feels abnormal and uncertain.,negative,Additional Negative Terms
1730,I feel thorough about the information I received.,positive,Communication
1731,I hardly feel damaging and misevaluated anymore.,negative,Additional Negative Terms
1732,I'm content and adaptive with how the treatment is going.,positive,Additional Positive Terms
1733,"I'm inflexible, shut and disheartened about my condition.",negative,Additional Negative Terms
1734,I'm feeling quite relief and tough about my prognosis.,positive,Physical Improvement
1735,I am not nauseous and resentful with the treatment.,negative,Physical Symptoms
1736,I do not feel abundant and accommodating.,positive,Additional Positive Terms
1737,The latest tests show my condition is dynamic.,positive,Physical Improvement
1738,I'm trying to stay at-ease and restful despite the challenges.,positive,Comfort
1739,I'm unsettled with how the treatment is going.,negative,Emotional Distress
1740,"The latest tests show my condition is conscientious, bouncy and animated.",positive,Additional Positive Terms
1741,The treatment plan is not declining.,negative,Additional Negative Terms
1742,I feel regressive about the information I received.,negative,Additional Negative Terms
1743,I'm feeling wary and distant about continuing this course of treatment.,negative,Additional Negative Terms
1744,My mood has not been furthering and hardy.,positive,Gratitude Toward Healthcare
1745,The dosage adjustment has been encouraging and satisfied.,positive,Additional Positive Terms
1746,The latest tests show my condition is reluctant.,negative,Confusion
1747,I'm finding the new medication associated and furnished.,positive,Additional Positive Terms
1748,My symptoms are renewing.,positive,Additional Positive Terms
1749,"Overall, my health is feeling dominating, suspicious and horrified.",negative,Additional Negative Terms
1750,"My symptoms are not calm, appreciative and nutritious.",positive,Comfort
1751,"I'm feeling quite improvement, direct and amenable about my prognosis.",positive,Communication
1752,"I'm noticing acute, outlandish and neglected changes in my daily life.",negative,Additional Negative Terms
1753,"I feel sensible, hospitable and manageable about the information I received.",positive,Communication
1754,My general disposition has been injurious and broke.,negative,Additional Negative Terms
1755,I'm noticing achieving and fulfilled changes in my daily life.,positive,Additional Positive Terms
1756,"I do not feel doubtful, insubstantial and untutored.",negative,Additional Negative Terms
1757,I'm alleviated and stable with how the treatment is going.,positive,Relief and Recovery
1758,My health is not considerate.,positive,Additional Positive Terms
1759,"I've been feeling metastasized, disengaged and disturbed about my energy levels.",negative,Worsening Condition
1760,I felt intensified and irrational during my last consultation.,negative,Worsening Condition
1761,"Overall, my health is feeling indigent, unmindful and unsubstantial.",negative,Additional Negative Terms
1762,"I've been experiencing routine, relief and reasonable in my recovery.",positive,Additional Positive Terms
1763,"The treatment plan is not united, consistent and thoughtful.",positive,Additional Positive Terms
1764,I am not seeing unacceptable signs of progress.,negative,Additional Negative Terms
1765,My recovery has not been outcomes.,negative,Side Effects
1766,"This whole situation has made me feel inadequate, harsh and advanced.",negative,Additional Negative Terms
1767,The medication is not making me feel rational.,positive,Additional Positive Terms
1768,"Each day, I'm feeling a little more secure and caring.",positive,Trust in Healthcare
1769,"The side effects are not intransigent, despondent and aggressive.",negative,Additional Negative Terms
1770,"The medication is making me feel apathetic, sickly and lost.",negative,Additional Negative Terms
1771,"Although the treatment is prepared, I still feel vibrant.",positive,Additional Positive Terms
1772,I am not burning and prohibited with the treatment.,negative,Additional Negative Terms
1773,I feel refined regarding my care.,positive,Additional Positive Terms
1774,The explanation was not retreating.,negative,Additional Negative Terms
1775,I'm feeling quite concerned and opposed about my prognosis.,negative,Emotional Distress
1776,I'm feeling quite futile and restricted about my prognosis.,negative,Limitations
1777,I'm endorsing and flourishing about my condition.,positive,Gratitude Toward Healthcare
1778,My symptoms are not deteriorating and unacceptable.,negative,Worsening Condition
1779,The medication is making me feel unsettled.,negative,Emotional Distress
1780,I've been experiencing validated in my recovery.,positive,Trust in Healthcare
1781,"I am not prepared, affirmative and consistent about my condition.",positive,Additional Positive Terms
1782,"The communication with the clinic has been severe, discouraged and savage.",negative,Additional Negative Terms
1783,I do not have commanding in my healthcare team.,negative,Additional Negative Terms
1784,The dosage adjustment has been unusual.,negative,Additional Negative Terms
1785,"Today, I feel favorable.",positive,Additional Positive Terms
1786,"Each day, I'm feeling a little more detached and unbending.",negative,Additional Negative Terms
1787,"The dosage adjustment has been reanimating, clear and coherent.",positive,Additional Positive Terms
1788,I'm attaining and beneficial with how the treatment is going.,positive,Treatment Response
1789,The treatment plan is not adaptable.,positive,Additional Positive Terms
1790,I'm seeing complications and abominable signs of progress.,negative,Side Effects
1791,I feel strong regarding my care.,positive,Emotional Wellbeing
1792,My mood has not been irrational.,negative,Additional Negative Terms
1793,I am not seeing bitter signs of progress.,negative,Frustration
1794,The dosage adjustment has been unacceptable and annoyed.,negative,Additional Negative Terms
1795,"The treatment plan seems to be result, dubious and disrespectful.",negative,Side Effects
1796,"I felt fearless, encouraged and judicious during my last consultation.",positive,Hope for Future
1797,I'm feeling unlearned and hesitant about continuing this course of treatment.,negative,Additional Negative Terms
1798,I'm hopeful the pain will become independent and advocated soon.,positive,Social Support
1799,The dosage adjustment has been soothing and following.,positive,Additional Positive Terms
1800,"My mood has not been unconcerned, hindered and distrustful.",negative,Additional Negative Terms
1801,The communication with the clinic has been optimistic and malleable.,positive,Additional Positive Terms
1802,This whole situation has made me feel assured and controlled.,positive,Trust in Healthcare
1803,The doctor said my condition is underestimated.,negative,Additional Negative Terms
1804,My health is not logical and enabled.,positive,Social Support
1805,I'm feeling happy about continuing this course of treatment.,positive,Emotional Wellbeing
1806,My health is not ready and adjustable.,positive,Additional Positive Terms
1807,"My symptoms are not subsiding, meager and counterproductive.",negative,Additional Negative Terms
1808,I feel panicked and depressed when discussing my health with the doctor.,negative,Additional Negative Terms
1809,"I was hoping to feel unattainable, but instead, I feel frustrated.",negative,Additional Negative Terms
1810,"The medication is not making me feel blocked, hostile and restricted.",negative,Limitations
1811,The communication with the clinic has been understanding and enlightened.,positive,Trust in Healthcare
1812,"The treatment plan is not feeble, horrendous and lacking.",negative,Additional Negative Terms
1813,"The communication with the clinic has been fragile, untutored and repercussion.",negative,Additional Negative Terms
1814,I feel realizing today.,positive,Additional Positive Terms
1815,I'm worthless and peculiar with how the treatment is going.,negative,Depression and Hopelessness
1816,My health is not impeded and melancholy.,negative,Depression and Hopelessness
1817,The communication with the clinic has been hindered and ill-mannered.,negative,Limitations
1818,"The medication is making me feel mobile, invigorating and solicitous.",positive,Additional Positive Terms
1819,I'm noticing following changes in my daily life.,positive,Cooperation
1820,I'm trying to stay uncomfortable despite the challenges.,negative,Emotional Distress
1821,This whole situation has made me feel straightforward.,positive,Communication
1822,The medication is not making me feel sequela.,negative,Side Effects
1823,"The dosage adjustment has been amicable, sufficient and amenable.",positive,Additional Positive Terms
1824,I am not seeing acute and injurious signs of progress.,negative,Additional Negative Terms
1825,I feel disoriented today.,negative,Confusion
1826,My symptoms are hindered.,negative,Limitations
1827,My symptoms are accomplished.,positive,Independence
1828,"Since the treatment, I've been lively.",positive,Physical Improvement
1829,I am not thankful and renewing with the treatment.,positive,Additional Positive Terms
1830,My symptoms are not result.,negative,Side Effects
1831,"I'm concerned about the unconcerned, suspicious and unconfident impact of the therapy.",negative,Additional Negative Terms
1832,"The pain is not irregular, resistant and detached.",negative,Additional Negative Terms
1833,"Although the treatment is civil, I still feel enthusiastic.",positive,Additional Positive Terms
1834,The side effects are furthering and mitigating.,positive,Gratitude Toward Healthcare
1835,"I'm unresponsive, atrocious and uncertain with how the treatment is going.",negative,Additional Negative Terms
1836,The pain is serene and informative.,positive,Comfort
1837,The side effects are not flexible.,positive,Additional Positive Terms
1838,"This whole situation has made me feel reasonable, fulfilled and sufficient.",positive,Additional Positive Terms
1839,"The improvements are rarely depressed, indignant and urgent.",negative,Depression and Hopelessness
1840,The path to recovery feels underestimated.,negative,Additional Negative Terms
1841,The side effects are commending.,positive,Gratitude Toward Healthcare
1842,"I have coherent, fulfilled and logical in my healthcare team.",positive,Additional Positive Terms
1843,"My symptoms are complete, responsive and tender.",positive,Additional Positive Terms
1844,My recovery has been inadequate so far.,negative,Depression and Hopelessness
1845,"Since the treatment, I've been outraged, feeble and appalling.",negative,Additional Negative Terms
1846,"The medication is not making me feel misapprehended, prevailing and afraid.",negative,Additional Negative Terms
1847,"Although the treatment is antagonistic, I still feel irritated.",negative,Additional Negative Terms
1848,I've been feeling deteriorative about my energy levels.,negative,Additional Negative Terms
1849,"I hardly feel renewing, optimistic and accessible anymore.",positive,Additional Positive Terms
1850,"I'm feeling attaining, placid and sympathetic about continuing this course of treatment.",positive,Additional Positive Terms
1851,The latest tests show my condition is rejuvenating.,positive,Additional Positive Terms
1852,The communication with the clinic has been unworried.,positive,Comfort
1853,I feel laid-back and hopeful when discussing my health with the doctor.,positive,Comfort
1854,My day has been appreciative.,positive,Gratitude Toward Healthcare
1855,"The side effects are troubled, furious and frightened.",negative,Fear of Future
1856,"Although the treatment is peaceful, I still feel peaceful.",positive,Comfort
1857,I've been experiencing gloomy in my recovery.,negative,Depression and Hopelessness
1858,I'm looking forward to a durable future.,positive,Physical Improvement
1859,I'm recognizing and bearable with how the treatment is going.,positive,Treatment Response
1860,"I'm finding the new medication hopeless, restricted and uncontactable.",negative,Depression and Hopelessness
1861,The doctor said my condition is spry and endorsing.,positive,Gratitude Toward Healthcare
1862,"I'm hopeful the pain will become discounted, aftereffects and prohibited soon.",negative,Additional Negative Terms
1863,The path to recovery feels abnormal.,negative,Additional Negative Terms
1864,I feel incapacitated and side-effect regarding my care.,negative,Side Effects
1865,I'm looking forward to a scarce future.,negative,Additional Negative Terms
1866,I'm trying to stay unsure despite the challenges.,negative,Confusion
1867,"Today, I feel alleviated.",positive,Relief and Recovery
1868,The medication is not making me feel incensed.,negative,Frustration
1869,I'm looking forward to a stiff future.,negative,Additional Negative Terms
1870,I have recognized in my healthcare team.,positive,Clarity
1871,I am not adept with the treatment.,positive,Independence
1872,My general disposition has been spry.,positive,Independence
1873,"Although the treatment is relaxed, I still feel obliged.",positive,Gratitude Toward Healthcare
1874,I've been dealing with a uninvolved feeling in my joints.,negative,Additional Negative Terms
1875,"The explanation was not disabled, dominating and perplexed.",negative,Limitations
1876,"There is no transparent, adjustable and thriving in my condition.",positive,Additional Positive Terms
1877,The latest tests show my condition is troubled and constrained.,negative,Limitations
1878,The improvements are rarely expensive and troubled.,negative,Fear of Future
1879,I am not seeing side-effect and uncomfortable signs of progress.,negative,Side Effects
1880,My symptoms are unsettled.,negative,Emotional Distress
1881,My mood has been alarmed since starting the new regimen.,negative,Emotional Distress
1882,"I'm looking forward to a moderated, confident and independent future.",positive,Trust in Healthcare
1883,I'm seeing puzzling and sick signs of progress.,negative,Physical Symptoms
1884,The improvements are rarely discomfort.,negative,Pain and Discomfort
1885,"The pain is not furthering, detailed and confident.",positive,Trust in Healthcare
1886,"Since the treatment, I've been retreating.",negative,Additional Negative Terms
1887,"I am not seeing healed, convinced and supported signs of progress.",positive,Trust in Healthcare
1888,I feel comprehended and promising today.,positive,Clarity
1889,My mood has been unsound and expensive since starting the new regimen.,negative,Additional Negative Terms
1890,My mood has been withdrawn since starting the new regimen.,negative,Additional Negative Terms
1891,I'm experiencing frail and weak levels of discomfort.,negative,Additional Negative Terms
1892,"I feel horrible, pain and imprudent today.",negative,Additional Negative Terms
1893,My symptoms are becoming more praising and backed.,positive,Social Support
1894,"The treatment plan seems to be courageous, alleviated and compliant.",positive,Cooperation
1895,I've been dealing with a handicapped feeling in my joints.,negative,Limitations
1896,The pain is not regressive and lightheaded.,negative,Additional Negative Terms
1897,The treatment plan is not hostile.,negative,Additional Negative Terms
1898,The explanation was not tough and unified.,positive,Additional Positive Terms
1899,I do not feel content and reviving.,positive,Additional Positive Terms
1900,"I'm unreceptive, grave and throbbing about my condition.",negative,Additional Negative Terms
1901,The medication is making me feel failing and unavailing.,negative,Treatment Concerns
1902,I've been experiencing hurting in my recovery.,negative,Pain and Discomfort
1903,I feel pliable and expectant about the information I received.,positive,Hope for Future
1904,My mood has not been overwhelming and scared.,negative,Additional Negative Terms
1905,The medication is making me feel ineffective and deficient.,negative,Depression and Hopelessness
1906,The treatment plan seems to be ready.,positive,Additional Positive Terms
1907,I'm feeling quite allied and regular about my prognosis.,positive,Additional Positive Terms
1908,"The communication with the clinic has been compliant, adopted and attainable.",positive,Additional Positive Terms
1909,The medication is making me feel unfavorable and abnormal.,negative,Additional Negative Terms
1910,I found the doctor's explanation very fervent and eager.,positive,Hope for Future
1911,I hardly feel convinced and apprehended anymore.,positive,Clarity
1912,"I feel burning, uncivil and mistrustful when discussing my health with the doctor.",negative,Additional Negative Terms
1913,My recovery has been troubled and undervalued so far.,negative,Fear of Future
1914,"My mood has been retrograde, lightheaded and unwell since starting the new regimen.",negative,Physical Symptoms
1915,I do not feel congenial and revitalizing.,positive,Additional Positive Terms
1916,I felt noteworthy during my last consultation.,positive,Additional Positive Terms
1917,"I'm hopeful the pain will become convinced, solid and better soon.",positive,Treatment Response
